id,year,name,abbr,state,votes,parties
2004_AL,2004,"Bush, George W.",AL,Alabama,1176394,Republican
2004_AL,2004,"Kerry, John F.",AL,Alabama,693933,Democratic
2004_AL,2004,"Nader, Ralph",AL,Alabama,6701,Independent
2004_AL,2004,"Badnarik, Michael",AL,Alabama,3529,Independent
2004_AL,2004,"Peroutka, Michael",AL,Alabama,1994,Independent
2004_AK,2004,"Bush, George W.",AK,Alaska,190889,Republican
2004_AK,2004,"Kerry, John F.",AK,Alaska,111025,Democratic
2004_AK,2004,"Nader, Ralph",AK,Alaska,5069,Populist
2004_AK,2004,"Peroutka, Michael A.",AK,Alaska,2092,Alaskan Independence
2004_AK,2004,"Badnarik, Michael",AK,Alaska,1675,Alaska Libertarian
2004_AK,2004,"Cobb, David",AK,Alaska,1058,Green
2004_AZ,2004,"Bush, George W.",AZ,Arizona,1104294,Republican
2004_AZ,2004,"Kerry, John F.",AZ,Arizona,893524,Democratic
2004_AZ,2004,"Badnarik, Michael",AZ,Arizona,11856,Libertarian
2004_AZ,2004,"Nader, Ralph",AZ,Arizona,2773,Write-In
2004_AZ,2004,"Cobb, David",AZ,Arizona,138,Write-In
2004_AR,2004,"Bush, George W.",AR,Arkansas,572898,Republican
2004_AR,2004,"Kerry, John F.",AR,Arkansas,469953,Democratic
2004_AR,2004,"Nader, Ralph",AR,Arkansas,6171,Populist Party Of Arkansas
2004_AR,2004,"Badnarik, Michael",AR,Arkansas,2352,Libertarian
2004_AR,2004,"Peroutka, Michael Anthony",AR,Arkansas,2083,Constitutional
2004_AR,2004,"Cobb, David",AR,Arkansas,1488,Green Party Of Arkansas
2004_CA,2004,"Kerry, John F.",CA,California,6745485,Democratic
2004_CA,2004,"Bush, George W.",CA,California,5509826,Republican
2004_CA,2004,"Badnarik, Michael",CA,California,50165,Libertarian
2004_CA,2004,"Cobb, David",CA,California,40771,Green
2004_CA,2004,"Peltier, Leonard",CA,California,27607,Peace And Freedom
2004_CA,2004,"Peroutka, Michael Anthony",CA,California,26645,American Independent
2004_CA,2004,"Nader, Ralph",CA,California,21213,Write-In
2004_CA,2004,"Jabin, Anthony",CA,California,1,Write-In
2004_CA,2004,"Kennedy, John Joseph",CA,California,82,Write-In
2004_CA,2004,"Alexander-Pace, James",CA,California,8,Write-In
2004_CA,2004,"Parker, John",CA,California,49,Write-In
2004_CO,2004,"Bush, George W.",CO,Colorado,1101255,Republican
2004_CO,2004,"Kerry, John F.",CO,Colorado,1001732,Democratic
2004_CO,2004,"Nader, Ralph",CO,Colorado,12718,Colorado Reform Party
2004_CO,2004,"Badnarik, Michael",CO,Colorado,7664,Libertarian
2004_CO,2004,"Peroutka, Michael Anthony",CO,Colorado,2562,American Constitution Party
2004_CO,2004,"Cobb, David",CO,Colorado,1591,Green
2004_CO,2004,"Andress, Stanford E. (Andy)",CO,Colorado,804,Unaffiliated
2004_CO,2004,"Kennedy, John Joseph",CO,Colorado,700,Write-In
2004_CO,2004,"Amondson, Gene",CO,Colorado,378,Concerns Of People Party
2004_CO,2004,"Van Auken, Bill",CO,Colorado,329,Socialist Equality Party
2004_CO,2004,"Harris, James E.",CO,Colorado,241,Socialist Workers Party
2004_CO,2004,"Brown, Walter F.",CO,Colorado,216,Socialist Party USA
2004_CO,2004,"Dodge, Earl F.",CO,Colorado,140,Prohibition Party
2004_CT,2004,"Kerry, John F.",CT,Connecticut,857488,Democratic
2004_CT,2004,"Bush, George W.",CT,Connecticut,693826,Republican
2004_CT,2004,"Nader, Ralph",CT,Connecticut,12969,Politicos Son Corruptos
2004_CT,2004,"Cobb, David",CT,Connecticut,9564,Green
2004_CT,2004,"Badnarik, Michael",CT,Connecticut,3367,Libertarian
2004_CT,2004,"Peroutka, Michael A.",CT,Connecticut,1543,Concerned Citizens
2004_CT,2004,"Calero, Róger",CT,Connecticut,12,Write-In
2004_DE,2004,"Kerry, John F.",DE,Delaware,200152,Democratic
2004_DE,2004,"Bush, George W.",DE,Delaware,171660,Republican
2004_DE,2004,"Nader, Ralph",DE,Delaware,2153,Independent Party Of Delaware
2004_DE,2004,"Badnarik, Michael",DE,Delaware,586,Libertarian
2004_DE,2004,"Peroutka, Michael Anthony",DE,Delaware,289,Constitution
2004_DE,2004,"Cobb, David",DE,Delaware,250,Green
2004_DE,2004,"Brown, Walter F.",DE,Delaware,100,Natural Law
2004_DC,2004,"Kerry, John F.",DC,District of Columbia,202970,Democratic
2004_DC,2004,"Bush, George W.",DC,District of Columbia,21256,Republican
2004_DC,2004,"Nader, Ralph",DC,District of Columbia,1485,Independent
2004_DC,2004,"Cobb, David",DC,District of Columbia,737,D.C. Statehood Green
2004_DC,2004,"Badnarik, Michael",DC,District of Columbia,502,Libertarian
2004_DC,2004,"Harris, James",DC,District of Columbia,130,Socialist Workers Party
2004_FL,2004,"Bush, George W.",FL,Florida,3964522,Republican
2004_FL,2004,"Kerry, John F.",FL,Florida,3583544,Democratic
2004_FL,2004,"Nader, Ralph",FL,Florida,32971,Reform
2004_FL,2004,"Badnarik, Michael",FL,Florida,11996,Libertarian Party Of Florida
2004_FL,2004,"Peroutka, Michael A.",FL,Florida,6626,Constitution Party Of Florida
2004_FL,2004,"Cobb, David",FL,Florida,3917,Green Party Of Florida
2004_FL,2004,"Brown, Walter F.",FL,Florida,3502,Socialist Party Of Florida
2004_FL,2004,"Harris, James",FL,Florida,2732,Florida Socialist Workers
2004_GA,2004,"Bush, George W.",GA,Georgia,1914254,Republican
2004_GA,2004,"Kerry, John F.",GA,Georgia,1366149,Democratic
2004_GA,2004,"Badnarik, Michael",GA,Georgia,18387,Libertarian
2004_GA,2004,"Nader, Ralph",GA,Georgia,2231,Write-In
2004_GA,2004,"Peroutka, Michael A.",GA,Georgia,580,Write-In
2004_GA,2004,"Cobb, David",GA,Georgia,228,Write-In
2004_GA,2004,"Tancredo, Tom",GA,Georgia,26,Write-In
2004_GA,2004,"Kennedy, John J.",GA,Georgia,8,Write-In
2004_GA,2004,"Byrne, David",GA,Georgia,7,Write-In
2004_GA,2004,"Pace, James",GA,Georgia,5,Write-In
2004_HI,2004,"Kerry, John F.",HI,Hawaii,231708,Democratic
2004_HI,2004,"Bush, George W.",HI,Hawaii,194191,Republican
2004_HI,2004,"Cobb, David",HI,Hawaii,1737,Green
2004_HI,2004,"Badnarik, Michael",HI,Hawaii,1377,Libertarian
2004_ID,2004,"Bush, George W.",ID,Idaho,409235,Republican
2004_ID,2004,"Kerry, John F.",ID,Idaho,181098,Democratic
2004_ID,2004,"Badnarik, Michael",ID,Idaho,3844,Libertarian
2004_ID,2004,"Peroutka, Michael A.",ID,Idaho,3084,Constitution
2004_ID,2004,"Nader, Ralph",ID,Idaho,1115,Write-In
2004_ID,2004,"Cobb, David",ID,Idaho,58,Write-In
2004_ID,2004,"Kennedy, John Joseph",ID,Idaho,9,Write-In
2004_ID,2004,"Brown, Walt",ID,Idaho,3,Write-In
2004_ID,2004,"Merepeace-msmere, Reverend",ID,Idaho,1,Write-In
2004_IL,2004,"Kerry, John F.",IL,Illinois,2891550,Democratic
2004_IL,2004,"Bush, George W.",IL,Illinois,2345946,Republican
2004_IL,2004,"Badnarik, Michael",IL,Illinois,32442,Libertarian
2004_IL,2004,"Nader, Ralph",IL,Illinois,3571,Write-In
2004_IL,2004,"Peroutka, Michael Anthony",IL,Illinois,440,Write-In
2004_IL,2004,"Cobb, David",IL,Illinois,241,Write-In
2004_IL,2004,"Camejo, Peter M.",IL,Illinois,115,Write-In
2004_IL,2004,"Virag, Ernest",IL,Illinois,4,Write-In
